[Mon Apr 12 17:31:31.556 2010] 0.001 sec [any/0/rel 0 (0,50)] [idx_logs] cylinder
[Mon Apr 12 17:32:05.513 2010] 0.000 sec [any/0/rel 0 (0,50)] [idx_logs] Mon
[Mon Apr 12 17:32:13.109 2010] 0.022 sec [any/0/rel 42 (0,50)] [idx_logs] Mon
[Mon Apr 12 17:33:50.451 2010] 0.000 sec [any/0/rel 1 (0,50)] [idx_logs] 864
[Mon Apr 12 17:34:46.141 2010] 0.001 sec [any/0/rel 1 (0,50)] [idx_logs] 864
[Mon Apr 12 17:35:21.739 2010] 0.000 sec [any/0/rel 1 (0,50)] [idx_logs] 864
[Mon Apr 12 17:52:21.267 2010] 0.000 sec [any/0/rel 0 (0,50)] [idx_logs] win
[Mon Apr 12 17:52:44.799 2010] 0.000 sec [any/0/rel 0 (0,50)] [idx_logs] win
[Mon Apr 12 17:55:17.454 2010] 0.000 sec [any/0/rel 0 (0,50)] [idx_logs] win
[Mon Apr 12 17:55:31.351 2010] 0.000 sec [any/0/rel 0 (0,50)] [idx_logs] win
[Mon Apr 12 17:55:41.991 2010] 0.000 sec [any/0/rel 0 (0,50)] [idx_logs] win
[Mon Apr 12 17:56:53.660 2010] 0.001 sec [any/0/rel 0 (0,50)] [idx_logs] win
[Mon Apr 12 17:57:15.286 2010] 0.000 sec [any/0/rel 0 (0,50)] [idx_logs] win
[Mon Apr 12 17:57:48.521 2010] 0.000 sec [any/0/rel 0 (0,50)] [idx_logs] win
[Mon Apr 12 17:58:06.591 2010] 0.000 sec [any/0/rel 0 (0,50)] [idx_logs] win
[Mon Apr 12 17:58:46.839 2010] 0.001 sec [any/0/rel 0 (0,50)] [idx_logs] win
[Mon Apr 12 17:59:27.389 2010] 0.000 sec [any/0/rel 0 (0,50)] [idx_logs] win
[Mon Apr 12 17:59:53.482 2010] 0.000 sec [any/0/rel 0 (0,50)] [idx_logs] win
[Mon Apr 12 18:00:18.027 2010] 0.000 sec [any/0/rel 0 (0,50)] [idx_logs] win
[Mon Apr 12 18:00:50.183 2010] 0.000 sec [any/0/rel 0 (0,50)] [idx_logs] Win
[Mon Apr 12 18:01:21.055 2010] 0.000 sec [any/0/rel 0 (0,50)] [idx_logs] a
[Mon Apr 12 18:01:42.406 2010] 0.002 sec [any/0/rel 0 (0,50)] [idx_logs] Win
